Collection,Operation,File,Function,Line
activity_log,Get,dashboard.html,(top-level/inline),57
activity_log,Post,firebase.js,logActivity,534
activity_log,Post,login.html,attemptLogin,137
activity_log,Post,login.html,attemptLogin,162
activity_log,Get,pages/inventory.js,loadInventory,32
animals,Get,animal-detail.html,renderWeightTable,126
animals,Patch,animal-detail.html,submitEditAnimal,402
animals,Patch,animal-detail.html,submitPregnancyUpdate,415
animals,Patch,animal-detail.html,submitAddOffspring,446
animals,Patch,animal-detail.html,submitRemoveAnimal,542
animals,Get,animals.html,(top-level/inline),78
animals,Patch,animals.html,performBulkDeath,683
animals,Delete,animals.html,performBulkDelete,759
animals,Post,animals.html,submitAddAnimal,820
animals,Get,animals.html,submitAddAnimal,823
animals,Patch,animals.html,submitDeath,963
animals,Get,animals.html,submitDeath,974
animals,Patch,animals.html,submitDeathSingle,1088
animals,Get,animals.html,submitDeathSingle,1099
animals,Delete,animals.html,deleteAnimalFull,1106
animals,Delete,animals.html,submitReset,1173
animals,Patch,animals.html,submitReset,1177
animals,Get,animals.html,submitReset,1180
animals,Post,animals.html,_beSubmit,1306
animals,Patch,animals.html,submitQuarantine,1348
animals,Patch,animals.html,releaseFromQuarantine,1366
animals,Patch,animals.html,submitSold,1410
animals,Post,animals.html,_doImport,1685
animals,Get,assistant.html,(top-level/inline),138
animals,Get,assistant.html,refreshFarmData,263
animals,Post,assistant.html,executeAction,486
animals,Post,assistant.html,executeAction,494
animals,Patch,assistant.html,executeAction,502
animals,Patch,assistant.html,executeAction,519
animals,Get,barns.html,(top-level/inline),59
animals,Patch,barns.html,submitTransfer,258
animals,Get,barns.html,submitTransfer,263
animals,Get,births.html,(top-level/inline),48
animals,Post,births.html,submitBirthBreedEdit,282
animals,Patch,births.html,submitBirthBreedEdit,300
animals,Get,births.html,submitBirthBreedEdit,312
animals,Get,cost.html,(top-level/inline),72
animals,Get,dashboard.html,(top-level/inline),55
animals,Get,dashboard.html,resolveSync,433
animals,Post,dashboard.html,_daSubmit,527
animals,Get,dashboard.html,openMarkDeathDash,535
animals,Patch,dashboard.html,_ddSubmit,553
animals,Get,dead.html,(top-level/inline),58
animals,Get,dead.html,openMarkDead,224
animals,Patch,dead.html,submitDead,362
animals,Get,dead.html,submitDead,374
animals,Delete,dead.html,submitResetDead,424
animals,Patch,dead.html,submitResetDead,431
animals,Get,dead.html,submitResetDead,440
animals,Get,diary.html,disp,159
animals,Post,diary.html,saveEdits,370
animals,Patch,diary.html,saveEdits,382
animals,Get,diary.html,saveEdits,406
animals,Get,firebase.js,undoLast,332
animals,Get,fix-births.html,startFix,132
animals,Patch,fix-births.html,startFix,166
animals,Get,fix-births.html,startFix,183
animals,Get,goats.html,(top-level/inline),48
animals,Post,goats.html,submitAddGoat,168
animals,Get,goats.html,submitAddGoat,172
animals,Patch,goats.html,submitDeathGoat,295
animals,Get,goats.html,submitDeathGoat,307
animals,Post,goats.html,submitBreedEdit,385
animals,Patch,goats.html,submitBreedEdit,390
animals,Get,goats.html,submitBreedEdit,398
animals,Post,import.html,startExcelImport,420
animals,Get,import.html,exportCurrentData,550
animals,Post,import.html,startInitialImport,633
animals,Get,pages/animal_detail.js,loadAll,44
animals,Patch,pages/animal_detail.js,submitWeight,449
animals,Get,pages/animal_detail.js,submitWeight,455
animals,Patch,pages/animal_detail.js,submitEditAnimal,727
animals,Get,pages/animal_detail.js,submitEditAnimal,731
animals,Patch,pages/animal_detail.js,submitMarkDead,775
animals,Get,pages/animal_detail.js,submitMarkDead,779
animals,Get,pages/births.js,makePattern,72
animals,Post,pages/breeding.js,submitBirthDirect,216
animals,Get,pages/farm_profile.js,(top-level/inline),8
animals,Get,pages/finance.js,showCostPerHead,120
animals,Get,pages/notifications.js,(top-level/inline),17
animals,Get,pages/pedigree.js,loadData,39
animals,Get,pages/production.js,loadData,32
animals,Patch,pages/production.js,submitProd,584
animals,Get,pages/reports.js,mkChart,57
animals,Get,reports.html,loadG2Charts,53
animals,Get,settings.html,loadM3Demo,349
animals,Get,settings.html,loadG2Charts,362
animals,Get,shared.js,refreshAnimalsAfterBulk,52
animals,Patch,shared.js,refreshAnimalsAfterBulk,59
animals,Patch,shared.js,commitBulkPatch,70
animals,Get,shared.js,openNotificationsPopup,663
animals,Post,shared.js,_ubSubmit,897
animals,Get,sheep.html,(top-level/inline),48
animals,Post,sheep.html,submitAddGoat,182
animals,Get,sheep.html,submitAddGoat,186
animals,Patch,sheep.html,submitDeathGoat,309
animals,Get,sheep.html,submitDeathGoat,321
animals,Post,sheep.html,submitBreedEdit,399
animals,Patch,sheep.html,submitBreedEdit,404
animals,Get,sheep.html,submitBreedEdit,412
breeding,Get,animal-detail.html,renderWeightTable,136
breeding,Get,assistant.html,(top-level/inline),138
breeding,Get,assistant.html,refreshFarmData,263
breeding,Post,assistant.html,executeAction,527
breeding,Get,cost.html,(top-level/inline),73
breeding,Get,dashboard.html,(top-level/inline),55
breeding,Get,import.html,exportCurrentData,550
breeding,Get,pages/animal_detail.js,loadAll,46
breeding,Get,pages/breeding.js,(top-level/inline),23
breeding,Delete,pages/breeding.js,delBreeding,133
breeding,Post,pages/breeding.js,submitBirthDirect,207
breeding,Get,pages/breeding.js,submitBirthDirect,220
breeding,Patch,pages/breeding.js,submitBreeding,288
breeding,Post,pages/breeding.js,submitBreeding,289
breeding,Get,pages/breeding.js,submitBreeding,291
